PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
propia,casa,,Proin,Toribio Echeverria 100,Bernardino Rivadavia,240.0,191.0,8.0,3.0,1.0,
propia,casa,,Proin,Santa Fe 850,Barrio Centro 1,200.0,200.0,8.0,3.0,2.0,115000.0
propia,casa,,Romero Y Asociados,3 De Febrero 800,Barrio Centro 3,146.0,146.0,6.0,2.0,1.0,
propia,casa,,Romero Y Asociados,Expedicion Arg Al Polo Sur 96,Barrio Norte,257.0,257.0,10.0,4.0,2.0,
propia,casa,,Romero Y Asociados,Laprida 500,Barrio Centro 1,167.0,167.0,6.0,2.0,1.0,
propia,casa,,Romero Y Asociados,Juan B. Alberdi 100,Barrio Centro 3,130.0,130.0,6.0,3.0,2.0,
propia,casa,,Romero Y Asociados,Avellaneda 800,Barrio Norte,,,7.0,2.0,1.0,
propia,departamento,,Romero Y Asociados,Pellegrini 700,Barrio Centro 1,,,4.0,2.0,1.0,
propia,casa,,Romero Y Asociados,La Rioja 200,Provincias Unidas,197.0,197.0,9.0,4.0,3.0,
propia,departamento,,Romero Y Asociados,Iturraspe 1200,Barrio Centro 2,47.0,47.0,1.0,,1.0,
propia,casa quinta,,Romero Y Asociados,Las Acacias 1600,Los Pinos,305.0,305.0,10.0,5.0,3.0,
propia,casa,,Romero Y Asociados,Pardal 100,Alejandro Gutierrez,,,4.0,2.0,1.0,
propia,casa,,Romero Y Asociados,Giacaglia 700,Ciudad Nueva,137.0,137.0,5.0,2.0,1.0,
propia,departamento,,Proin,Marconi E Italia,Barrio Centro 1,74.0,62.0,3.0,2.0,1.0,75000.0
propia,casa,,Romero Y Asociados,Dante Alighieri 1000,Barrio Centro 3,260.0,260.0,10.0,3.0,3.0,
propia,casa,,Romero Y Asociados,Antartida Argentina 100,General Belgrano,134.0,134.0,8.0,2.0,1.0,
propia,departamento,,Proin,Santa Fe 1000,Barrio Centro 1,51.0,51.0,2.0,1.0,1.0,
propia,departamento,,Romero Y Asociados,Velez Sarfield 100,Barrio Norte,57.0,57.0,2.0,1.0,1.0,
propia,casa,,Romero Y Asociados,Iturraspe 1000,Barrio Centro 2,142.0,142.0,8.0,3.0,1.0,
propia,casa,,Romero Y Asociados,Lavalle 1000,Barrio Centro 2,159.0,159.0,5.0,2.0,1.0,
propia,casa,,Proin,Libertad 100,San Cayetano,121.0,121.0,,2.0,1.0,75000.0
propia,casa,,Proin,Juan Bautista Alberdi 700,Barrio Centro 3,240.0,240.0,12.0,3.0,3.0,220000.0
propia,casa,,Romero Y Asociados,Saavedra 2500,Malvinas Argentinas,,,3.0,1.0,1.0,45000.0
